City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Ulaanbaatar,47.9077,106.8832,34.25,96,100,9.75,MN,2021-10-08 17:00:23,light rain
1,Mirabela,-16.2628,-44.1644,94.24,22,28,6.67,BR,2021-10-08 17:03:25,scattered clouds
2,Port Elizabeth,-33.918,25.5701,62.1,81,0,14.99,ZA,2021-10-08 17:00:16,clear sky
3,Ardakan,32.31,54.0175,73.78,33,0,9.17,IR,2021-10-08 17:03:26,clear sky
4,Ahipara,-35.1667,173.1667,57.54,95,100,8.14,NZ,2021-10-08 17:03:26,overcast clouds
5,Mataura,-46.1927,168.8643,49.48,100,100,2.91,NZ,2021-10-08 17:01:17,light rain
6,Nadym,65.5333,72.5167,42.24,84,100,16.71,RU,2021-10-08 17:03:26,light rain
7,Busselton,-33.65,115.3333,50.04,84,39,9.51,AU,2021-10-08 17:03:27,scattered clouds
8,Vaini,-21.2,-175.2,75.45,81,1,8.1,TO,2021-10-08 17:01:26,clear sky
9,Khatanga,71.9667,102.5,23.47,98,100,1.59,RU,2021-10-08 17:03:27,light snow
10,Saint Anthony,45.0205,-93.218,70.14,84,90,1.01,US,2021-10-08 17:03:27,overcast clouds
11,Rikitea,-23.1203,-134.9692,73.76,75,76,7.63,PF,2021-10-08 17:03:28,broken clouds
12,Mar Del Plata,-38.0023,-57.5575,60.82,66,0,5.01,AR,2021-10-08 16:59:01,clear sky
13,Albany,42.6001,-73.9662,73.81,77,57,1.01,US,2021-10-08 17:03:28,broken clouds
14,Touros,-5.1989,-35.4608,86.9,64,100,14.61,BR,2021-10-08 17:03:29,overcast clouds
15,Kruisfontein,-34.0033,24.7314,59.88,85,23,11.63,ZA,2021-10-08 17:01:20,few clouds
16,Talaya,61.3833,152.75,5.74,93,79,3.29,RU,2021-10-08 17:03:29,broken clouds
17,Skibbereen,51.55,-9.2667,60.6,95,100,11.56,IE,2021-10-08 17:03:30,overcast clouds
18,El Espinal,16.3333,-94.0667,81.16,64,96,10.67,MX,2021-10-08 17:03:30,overcast clouds
19,Kudahuvadhoo,2.6708,72.8944,83.93,73,84,14.79,MV,2021-10-08 17:03:30,broken clouds
20,Cape Town,-33.9258,18.4232,59.11,93,75,11.5,ZA,2021-10-08 17:03:30,broken clouds
21,Ashqelon,31.6693,34.5715,78.82,62,0,12.77,IL,2021-10-08 17:03:31,clear sky
22,Pangnirtung,66.1451,-65.7125,36.61,65,3,2.66,CA,2021-10-08 17:03:31,clear sky
23,Buta,2.7858,24.73,71.73,93,100,2.15,CD,2021-10-08 17:03:31,light rain
24,Katherine,-14.4667,132.2667,88.12,51,31,12.66,AU,2021-10-08 17:03:32,scattered clouds
25,Isangel,-19.55,169.2667,70.5,78,31,8.97,VU,2021-10-08 16:59:31,scattered clouds
26,Kapaa,22.0752,-159.319,75.18,75,47,1.99,US,2021-10-08 16:59:05,scattered clouds
27,Avarua,-21.2078,-159.775,64.45,100,79,2.3,CK,2021-10-08 17:02:54,broken clouds
28,Torbay,47.6666,-52.7314,45.39,86,90,18.41,CA,2021-10-08 16:58:58,light rain
29,Kodiak,57.79,-152.4072,44.04,77,81,14.41,US,2021-10-08 16:59:21,broken clouds
30,Iqaluit,63.7506,-68.5145,29.93,100,90,4.0,CA,2021-10-08 16:58:49,fog
31,Ushuaia,-54.8,-68.3,46.02,75,40,19.57,AR,2021-10-08 17:03:33,light rain
32,Lorengau,-2.0226,147.2712,80.94,73,46,5.99,PG,2021-10-08 17:03:33,scattered clouds
33,Georgiyevka,43.0369,74.7114,39.24,81,0,2.24,KZ,2021-10-08 17:03:34,clear sky
34,Nome,64.5011,-165.4064,37.47,87,90,21.85,US,2021-10-08 17:03:34,moderate rain
35,Hermanus,-34.4187,19.2345,63.81,78,87,14.18,ZA,2021-10-08 16:59:02,overcast clouds
36,Souillac,-20.5167,57.5167,69.37,77,20,10.02,MU,2021-10-08 17:03:34,light rain
37,Glyadyanskoye,54.9075,65.0883,41.4,53,5,8.61,RU,2021-10-08 17:03:35,clear sky
38,Butaritari,3.0707,172.7902,83.7,67,63,15.86,KI,2021-10-08 17:03:35,broken clouds
39,Suda,59.1525,37.5582,50.11,72,99,6.78,RU,2021-10-08 17:03:35,overcast clouds
40,Ilulissat,69.2167,-51.1,17.06,76,10,2.64,GL,2021-10-08 16:59:37,clear sky
41,Keningau,5.3378,116.1602,75.65,97,90,1.16,MY,2021-10-08 17:03:36,overcast clouds
42,Saint George,37.1041,-113.5841,61.39,83,90,4.0,US,2021-10-08 17:03:35,light rain
43,Barrow,71.2906,-156.7887,30.22,86,90,17.27,US,2021-10-08 17:01:46,light snow
44,Georgetown,5.4112,100.3354,82.35,89,20,0.0,MY,2021-10-08 16:59:23,few clouds
45,Yellowknife,62.456,-114.3525,40.28,74,51,3.89,CA,2021-10-08 17:03:37,broken clouds
46,Sarakhs,36.5449,61.1577,55.24,40,4,8.32,IR,2021-10-08 17:02:12,clear sky
47,Abbeville,50.1,1.8333,61.68,73,97,6.49,FR,2021-10-08 17:03:37,overcast clouds
48,Airai,-8.9266,125.4092,59.97,67,74,2.1,TL,2021-10-08 17:03:38,broken clouds
49,Tecpan,14.7623,-90.9947,66.45,55,100,6.29,GT,2021-10-08 17:03:38,overcast clouds
50,Raudeberg,61.9875,5.1352,58.19,93,100,1.99,NO,2021-10-08 17:03:38,overcast clouds
51,Port Arthur,38.8,121.2667,57.42,81,97,7.81,CN,2021-10-08 17:03:39,light rain
52,Chokurdakh,70.6333,147.9167,4.91,94,65,6.6,RU,2021-10-08 16:59:16,broken clouds
53,Saint-Philippe,-21.3585,55.7679,71.19,80,70,12.86,RE,2021-10-08 17:03:39,light rain
54,Haines Junction,60.7522,-137.5108,33.26,91,100,5.53,CA,2021-10-08 17:03:40,light snow
55,Boa Vista,2.8197,-60.6733,78.78,83,75,11.5,BR,2021-10-08 17:00:54,heavy intensity rain
56,Bambous Virieux,-20.3428,57.7575,69.22,75,6,10.83,MU,2021-10-08 17:03:40,clear sky
57,Eyrarbakki,63.863,-21.1481,51.04,93,100,16.04,IS,2021-10-08 17:03:40,heavy intensity rain
58,Hilo,19.7297,-155.09,70.79,72,97,3.24,US,2021-10-08 16:59:39,light rain
59,Olafsvik,64.8945,-23.7142,45.46,94,100,21.39,IS,2021-10-08 17:03:41,moderate rain
60,Rio Gallegos,-51.6226,-69.2181,64.45,48,40,37.98,AR,2021-10-08 16:59:19,scattered clouds
61,Tasiilaq,65.6145,-37.6368,35.76,50,81,11.01,GL,2021-10-08 17:03:41,broken clouds
62,Atuona,-9.8,-139.0333,77.9,75,28,16.6,PF,2021-10-08 17:03:42,light rain
63,Chuy,-33.6971,-53.4616,58.93,50,16,10.36,UY,2021-10-08 17:03:42,few clouds
64,Severo-Kurilsk,50.6789,156.125,43.86,85,98,5.64,RU,2021-10-08 17:03:42,light rain
65,Mutsu,41.2894,141.2169,54.0,80,98,3.94,JP,2021-10-08 17:03:43,overcast clouds
66,Carutapera,-1.195,-46.02,89.47,54,90,8.84,BR,2021-10-08 17:03:43,overcast clouds
67,Carnarvon,-24.8667,113.6333,64.47,72,40,23.02,AU,2021-10-08 17:03:43,scattered clouds
68,Mosetse,-20.75,26.65,84.88,23,5,6.55,BW,2021-10-08 17:03:44,clear sky
69,Cabo San Lucas,22.8909,-109.9124,92.52,56,2,3.24,MX,2021-10-08 16:59:35,clear sky
70,New Norfolk,-42.7826,147.0587,56.91,54,11,4.0,AU,2021-10-08 17:03:44,few clouds
71,Kokstad,-30.5472,29.4241,56.53,93,67,4.21,ZA,2021-10-08 17:00:22,broken clouds
72,Lasa,46.6166,10.7002,57.11,91,66,1.81,IT,2021-10-08 17:03:44,broken clouds
73,Karratha,-20.7377,116.8463,75.04,45,0,11.48,AU,2021-10-08 17:03:45,light rain
74,Portland,45.5234,-122.6762,52.39,88,40,1.01,US,2021-10-08 17:02:05,scattered clouds
75,Bethel,41.3712,-73.414,75.47,72,75,5.75,US,2021-10-08 17:03:45,broken clouds
76,Mount Hagen,-5.8581,144.2274,60.35,98,85,0.98,PG,2021-10-08 17:03:45,overcast clouds
77,Vallenar,-28.5708,-70.7581,69.98,30,1,10.31,CL,2021-10-08 17:03:46,clear sky
78,Mayo,38.8876,-76.5119,79.16,62,1,1.01,US,2021-10-08 17:03:46,clear sky
79,Koumac,-20.5667,164.2833,68.79,78,2,4.32,NC,2021-10-08 16:59:35,clear sky
80,Alasehir,38.3508,28.5172,68.99,31,39,4.72,TR,2021-10-08 17:03:47,scattered clouds
81,Kavieng,-2.5744,150.7967,81.61,76,96,4.68,PG,2021-10-08 17:03:47,light rain
82,Ban Nahin,18.2418,104.2122,73.69,96,100,2.95,LA,2021-10-08 17:03:48,overcast clouds
