City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
15,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
24,Kavieng,PG,84.33,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
29,Lalmohan,BD,87.06,broken clouds,22.3384,90.7419,Sundorbon courier service
46,Butaritari,KI,82.63,few clouds,3.0707,172.7902,Isles Sunset Lodge
47,Acapulco,MX,81.18,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
48,Manaure,CO,83.21,clear sky,11.7751,-72.4445,Hotel Palaaima
57,Kavaratti,IN,82.29,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
58,Gwadar,PK,83.32,clear sky,25.1216,62.3254,Sadaf Resort
62,Shimoda,JP,80.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
70,Tura,IN,84.38,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
76,Thung Song,TH,87.8,overcast clouds,8.1645,99.6804,Jasmine Resort And Spa
84,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
98,San Blas,MX,80.74,clear sky,21.5167,-105.2667,Hotel Posada del Rey
99,Lorengau,PG,85.5,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
103,Vung Tau,VN,82.94,light rain,10.346,107.0843,Green hotel
105,Auki,SB,87.26,moderate rain,-8.7676,160.7034,Auki Motel
106,Kloulklubed,PW,82.56,moderate rain,7.0419,134.2556,Storyboard Beach Resort
108,Hithadhoo,MV,83.37,overcast clouds,-0.6,73.0833,Scoop Guest House
110,Salalah,OM,80.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
114,Tulum,MX,82.98,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
125,Hasaki,JP,81.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
127,Bengkulu,ID,83.07,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
141,Gizo,SB,84.51,light rain,-8.103,156.8419,Imagination Island
147,Cabo San Lucas,MX,86.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
148,Gaya,IN,85.91,mist,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
152,Saint-Georges,GD,81.63,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
155,Banda Aceh,ID,85.73,overcast clouds,5.5577,95.3222,Sulthan Hotel International
159,Matara,LK,83.32,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
164,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
177,Kirakira,SB,85.48,overcast clouds,-10.4544,161.9205,SanBiz Lodge
184,Adrar,MR,85.46,overcast clouds,20.5022,-10.0711,
187,Ambulu,ID,85.75,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
190,Pathein,MM,87.1,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
195,Ugoofaaru,MV,82.72,scattered clouds,5.6667,73.0,Ungoofaaru Inn
196,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
198,Pak Phanang,TH,88.41,overcast clouds,8.3511,100.202,Green Park Inn Hotel
208,Samarai,PG,81.73,light rain,-10.6167,150.6667,Nuli Sapi
211,Mansa,IN,85.69,clear sky,29.9833,75.3833,STARiHOTEL Mansa
212,Iracoubo,GF,80.55,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
213,Airai,TL,83.52,scattered clouds,-8.9266,125.4092,Juvinal Martin
217,Dhariwal,IN,80.19,clear sky,31.9542,75.3192,Laddi lakhanpal
218,Tessalit,ML,80.91,clear sky,20.1986,1.0114,
225,Jibuti,DJ,85.42,moderate rain,11.5,42.5,Orchid Main Camp Goubet
240,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
242,Honiara,SB,84.88,broken clouds,-9.4333,159.95,Heritage Park Hotel
